Title,Price,Images:,City,State,Zip,Phone,Email,Description,CategoryId,isPrimary,activeIs
2006 Ford F-350 short bed dually crew cab fully bullet-proofed,$500 ,https://phoenix.craigslist.org/nph/snw/d/91-banshee/6304418772.html,Tubac,AZ,624952,568-895-1576,me1@you.com,An incorporate creep arrives beside the clique.,1,TRUE,.
MILWAUKEE RAPID CHARGER,$200 ,https://phoenix.craigslist.org/cph/tro/d/horse-trailer/6314576690.html,Gilbert,AZ,624952,568-895-1577,me1@you.com,My exempt motto lodges the emptied civilian.,2,TRUE,.
$14.95 SQ FT Buy Direct From Local Manufacturer! Shutters,$100 ,https://phoenix.craigslist.org/evl/zip/d/free-pigs-to-good-home/6314574862.html,Oro Valley,AZ,624952,568-895-1578,me1@you.com,A vicious blanket stops.,3,TRUE,.
Shabby and very Chic Entry Table,$10 ,https://phoenix.craigslist.org/wvl/for/d/queen-pillow-top-mattress-and/6295231510.html,Litchfield Park,AZ,624952,568-895-1579,me1@you.com,Will his arcade compact the cold?,4,TRUE,.
2006 Nissan Altima,$14 ,https://phoenix.craigslist.org/nph/fuo/d/bedroom-set/6283795457.html,Cave Creek,AZ,624952,568-895-1580,me1@you.com,The breakdown rocks?,5,TRUE,.
NEW CABINETS - KITCHEN BATHROOM,$150 ,https://phoenix.craigslist.org/evl/cto/d/2014-dodge-dart-gt/6310206898.html,Carefree,AZ,624952,568-895-1581,me1@you.com,A taxi advertises into the analogue.,6,TRUE,.
Cool Beer Pitcher-Heavy Glass,"$26,800 ",https://phoenix.craigslist.org/nph/spo/d/archery-bow-for-sale/6314577828.html,Scottsdale,AZ,624952,568-895-1582,me1@you.com,A more postage strikes a bandwagon.,7,TRUE,.
End Wood tables,$85 ,https://phoenix.craigslist.org/cph/snw/d/91-banshee/6304422531.html,Queen Creek,AZ,624952,568-895-1583,me1@you.com,When will the predicted keeper riot within the reluctance?,8,TRUE,.
05 Toyota Corolla -$400,$700 ,https://phoenix.craigslist.org/cph/hsh/d/wheel-chair-quickie-2-foot/6314576839.html,Fountain Hills,AZ,624952,568-895-1584,me1@you.com,A gentleman punts past a level metaphor.,9,TRUE,.
Black leather & rhinestone belt,$10 ,https://phoenix.craigslist.org/nph/clo/d/harley-davidson-shirts/6296165086.html,Tombstone,AZ,624952,568-895-1585,me1@you.com,The stomach understands the mysterious purge.,10,TRUE,.
Fire wood for sale,$330 ,https://phoenix.craigslist.org/evl/for/d/1495-sq-ft-buy-direct-from/6286529938.html,Chandler,AZ,624952,568-895-1586,me1@you.com,An incorporate creep arrives beside the clique.,11,TRUE,.
table cherry wood small ornate scallop top nice old...,$25 ,https://phoenix.craigslist.org/evl/tls/d/power-tools-hand-tools/6314579080.html,Sonoita,AZ,624952,568-895-1587,me1@you.com,My exempt motto lodges the emptied civilian.,12,TRUE,.
Free pigs to a good home,$20 ,https://phoenix.craigslist.org/nph/pho/d/red-digital-cinema-scarlet/6282089502.html,Prescott,AZ,624952,568-895-1588,me1@you.com,A vicious blanket stops.,13,TRUE,.
2005 Jeep Wrangler Sport Unlimited,$150 ,https://phoenix.craigslist.org/wvl/msg/d/line6-sonic-port-vx/6284842775.html,Paradise Valley,AZ,624952,568-895-1589,me1@you.com,Will his arcade compact the cold?,14,TRUE,.
Brown Wooden 8 Drawer Dresser,$349 ,https://phoenix.craigslist.org/cph/fuo/d/table-cherry-wood-small/6314573956.html,Bagdad,AZ,624952,568-895-1590,me1@you.com,The breakdown rocks?,15,TRUE,.
AWESOME SECTIONAL FOR SALE,$10 ,https://phoenix.craigslist.org/evl/bar/d/jeep-wrangler-trade-for-diesel/6314577405.html,Surprise,AZ,624952,568-895-1591,me1@you.com,A taxi advertises into the analogue.,16,TRUE,.
Snap on big tire bicycle,$225 ,https://phoenix.craigslist.org/wvl/bik/d/snap-on-big-tire-bicycle/6306898040.html,Goodyear,AZ,624952,568-895-1592,me1@you.com,A more postage strikes a bandwagon.,17,TRUE,.
2000 chevy Silverado Lt,$4 ,https://phoenix.craigslist.org/nph/fuo/d/coffee-table-set-3-pieces/6281518373.html,Snowflake,AZ,624952,568-895-1593,me1@you.com,When will the predicted keeper riot within the reluctance?,18,TRUE,.
Adult small diapers,"$2,000 ",https://phoenix.craigslist.org/cph/pts/d/a/6314577888.html,Corona de Tucson,AZ,624952,568-895-1594,me1@you.com,A gentleman punts past a level metaphor.,19,TRUE,.
Diagnostic workstation,"$1,099 ",https://phoenix.craigslist.org/wvl/cto/d/2012-dodge-ram-1500/6308910581.html,Peoria,AZ,624952,568-895-1595,me1@you.com,The stomach understands the mysterious purge.,20,TRUE,.
Queen Mattress/Box Spring with metal frame,$175 ,https://phoenix.craigslist.org/nph/tls/d/kohler-generator/6306900256.html,Thatcher,AZ,624952,568-895-1596,me1@you.com,An incorporate creep arrives beside the clique.,21,TRUE,.
Bedroom Set,$600 ,https://phoenix.craigslist.org/evl/for/d/1495-sq-ft-buy-direct-from/6286530909.html,St. David,AZ,624952,568-895-1597,me1@you.com,My exempt motto lodges the emptied civilian.,22,TRUE,.
2008 Nissan Armada SE,$15 ,https://phoenix.craigslist.org/cph/ele/d/multi-media-speakers-harman/6314574565.html,Anthem,AZ,624952,568-895-1598,me1@you.com,A vicious blanket stops.,23,TRUE,.
Selling brand new sectional,$10 ,https://phoenix.craigslist.org/wvl/pts/d/jeep-rims/6314579188.html,Congress,AZ,624952,568-895-1599,me1@you.com,Will his arcade compact the cold?,24,TRUE,.
91 banshee,$5 ,https://phoenix.craigslist.org/nph/hsh/d/solar-pool-heating-collector/6282353412.html,Phoenix,AZ,624952,568-895-1600,me1@you.com,The breakdown rocks?,25,TRUE,.
Jeep rims,$395 ,https://phoenix.craigslist.org/nph/for/d/12-ft-trampoline-in-very-good/6314577141.html,Tucson,AZ,624952,568-895-1601,me1@you.com,A taxi advertises into the analogue.,26,TRUE,.
Selling brand new sectional,$199 ,https://phoenix.craigslist.org/wvl/fuo/d/leather-fabric-wood-sofa/6307196058.html,Mesa,AZ,624952,568-895-1602,me1@you.com,A more postage strikes a bandwagon.,27,TRUE,.
2005 GMC 2500,$395 ,https://phoenix.craigslist.org/evl/tls/d/ryobi-lithium-24v-battery/6300378284.html,Chandler,AZ,624952,568-895-1603,me1@you.com,When will the predicted keeper riot within the reluctance?,28,TRUE,.
Coffee Table Set - 3 pieces,$175 ,https://phoenix.craigslist.org/wvl/tix/d/cardinals-cowboys-nfl-lower/6314579003.html,Glendale,AZ,624952,568-895-1604,me1@you.com,A gentleman punts past a level metaphor.,29,TRUE,.
2014 Yamaha R6,$25 ,https://phoenix.craigslist.org/nph/fuo/d/formal-dining-room-table-with/6282107387.html,Scottsdale,AZ,624952,568-895-1605,me1@you.com,The stomach understands the mysterious purge.,30,TRUE,.
Archery Bow for Sale,$14 ,https://phoenix.craigslist.org/evl/for/d/1495-sq-ft-buy-direct-from/6306500530.html,Gilbert,AZ,624952,568-895-1606,me1@you.com,An incorporate creep arrives beside the clique.,31,TRUE,.
"Launch Tech Creader Professional CRP123 ABS, SRS, Transmission and En",$125 ,https://phoenix.craigslist.org/wvl/cto/d/2006-nissan-altima/6314576852.html,Tempe,AZ,624952,568-895-1607,me1@you.com,My exempt motto lodges the emptied civilian.,32,TRUE,.
Snap on big tire bicycle,$18 ,https://phoenix.craigslist.org/nph/fuo/d/brown-wooden-nightstand/6283839487.html,Peoria,AZ,624952,568-895-1608,me1@you.com,A vicious blanket stops.,33,TRUE,.
2X Shoei Qwest Full fascial helmet W/Shield,"$4,000 ",https://phoenix.craigslist.org/wvl/for/d/selling-brand-new-sectional/6279732673.html,Surprise,AZ,624952,568-895-1609,me1@you.com,Will his arcade compact the cold?,34,TRUE,.
Horse trailer,"$7,800 ",https://phoenix.craigslist.org/wvl/cto/d/2005-jeep-wrangler-sport/6314574485.html,Yuma,AZ,624952,568-895-1610,me1@you.com,The breakdown rocks?,35,TRUE,.
Dining Table,$7 ,https://phoenix.craigslist.org/wvl/bab/d/rare-nojo-ahoy-matey-crib-set/6314575328.html,San Tan Valley,AZ,624952,568-895-1611,me1@you.com,A taxi advertises into the analogue.,36,TRUE,.
Cranium Bible Edition,$100 ,https://phoenix.craigslist.org/nph/hsh/d/hanging-rack-for-pots-and-pans/6296122259.html,Avondale,AZ,624952,568-895-1612,me1@you.com,A more postage strikes a bandwagon.,37,TRUE,.
"Leather/Fabric/Wood Sofa, Loveseat and Chair","$1,500 ",https://phoenix.craigslist.org/evl/cto/d/1993-jeep-cherokee-rock/6314577332.html,Goodyear,AZ,624952,568-895-1613,me1@you.com,When will the predicted keeper riot within the reluctance?,38,TRUE,.
Jeep Wrangler trade for Diesel,"$4,000 ",https://phoenix.craigslist.org/evl/mcy/d/2014-yamaha-r6/6314578778.html,Casas Adobes,AZ,624952,568-895-1614,me1@you.com,A gentleman punts past a level metaphor.,39,TRUE,.
"Az, Top Buyer iPhone 7 and 6 plus buyer top paid - $590",$399 ,https://phoenix.craigslist.org/nph/mat/d/wood-pallets-for-sale/6314577886.html,Flagstaff,AZ,624952,568-895-1615,me1@you.com,The stomach understands the mysterious purge.,1,TRUE,.
Brown Wooden Headboard/Footboard/Panel Rails,$2 ,https://phoenix.craigslist.org/nph/ele/d/sony-smart-tv-42inches/6314578064.html,Buckeye,AZ,624952,568-895-1616,me1@you.com,An incorporate creep arrives beside the clique.,2,TRUE,.
Table Set,$75 ,https://phoenix.craigslist.org/evl/ele/d/velodyne-cht-8-subwoofer/6300395899.html,Lake Havasu City,AZ,624952,568-895-1617,me1@you.com,My exempt motto lodges the emptied civilian.,3,TRUE,.
*Rare* Nojo ahoy matey crib set,$25 ,https://phoenix.craigslist.org/evl/cto/d/1993-jeep-cherokee-rock/6314576469.html,Catalina Foothills,AZ,624952,568-895-1618,me1@you.com,A vicious blanket stops.,4,TRUE,.
